,,,,,,from days,from death,,,,,,,
5,0,0,13,230,1242461,21,644,,,,,,,
5,0,0,21,234,1242462,25,645,,,,,,,
3,0,0,11,231,1242464,22,647,,,,,,,
6,0,0,22,231,1242464,22,647,,,,,,,
7,0,0,22,231,1242464,22,647,,,,,,,
7,0,0,24,231,1242469,22,652,,,,,,,
4,0,0,13,233,1242483,24,666,,,,,,,
2,0,0,13,232,1242488,23,671,,,,,,,
5,0,0,22,231,1242492,22,675,,,,,,,
2,0,0,11,233,1242502,24,685,,,,,,,
4,0,0,22,233,1242502,24,685,,,,,,,
7,0,0,23,233,1242506,24,689,,,,,,,
8,0,0,23,234,1242506,25,689,,,,,,,
1,0,0,22,236,1242507,27,690,,,,,,,
8,0,0,17,235,1242521,26,704,,,,,,,
1,0,0,3,230,1242522,21,705,,,,,,,
2,0,0,6,230,1242522,21,705,,,,,,,
3,0,0,9,230,1242522,21,705,,,,,,,
4,0,0,12,230,1242522,21,705,,,,,,,
5,0,0,15,230,1242522,21,705,,,,,,,
6,0,0,18,230,1242522,21,705,,,,,,,
7,0,0,21,230,1242522,21,705,,,,,,,
8,0,0,24,230,1242522,21,705,,,,,,,
3,0,0,8,231,1242525,22,708,,,,,,,
6,0,0,16,231,1242525,22,708,,,,,,,
9,0,0,24,231,1242525,22,708,,,,,,,
9,0,0,23,234,1242547,25,730,,,,,,,
7,0,0,17,230,1242557,21,740,,,,,,,
7,0,0,18,234,1242563,25,746,,,,,,,
1,0,0,12,234,1242565,25,748,,,,,,,
2,0,0,24,234,1242565,25,748,,,,,,,
11,0,0,24,233,1242565,24,748,,,,,,,
5,0,0,12,230,1242571,21,754,,,,,,,
10,0,0,24,230,1242571,21,754,,,,,,,
3,0,0,7,230,1242581,21,764,,,,,,,
6,0,0,14,230,1242581,21,764,,,,,,,
9,0,0,21,230,1242581,21,764,,,,,,,
5,0,0,11,235,1242582,26,765,,,,,,,
10,0,0,22,235,1242582,26,765,,,,,,,
7,0,0,19,230,1242587,21,770,,,,,,,
10,0,0,23,233,1242590,24,773,,,,,,,
3,0,0,13,232,1242591,23,774,,,,,,,
6,0,0,19,232,1242593,23,776,,,,,,,
9,0,0,19,234,1242597,25,780,,,,,,,
9,0,0,22,230,1242609,21,792,,,,,,,
7,0,0,20,233,1242619,24,802,,,,,,,
4,0,0,11,233,1242624,24,807,,,,,,,
8,0,0,22,233,1242624,24,807,,,,,,,
3,0,0,10,233,1242633,24,816,,,,,,,
6,0,0,20,233,1242633,24,816,,,,,,,
4,0,0,21,230,1242636,21,819,,,,,,,
5,0,0,9,234,1242638,25,821,,,,,,,
10,0,0,18,234,1242638,25,821,,,,,,,
5,0,0,23,231,1242647,22,830,,,,,,,
2,0,0,5,231,1242657,22,840,,,,,,,
4,0,0,10,231,1242657,22,840,,,,,,,
6,0,0,15,231,1242657,22,840,,,,,,,
8,0,0,20,231,1242657,22,840,,,,,,,
9,0,0,20,231,1242666,22,849,,,,,,,
6,0,0,17,230,1242676,21,859,,,,,,,
10,0,0,19,230,1242676,21,859,,,,,,,
7,0,0,15,233,1242696,24,879,,,,,,,
8,0,0,21,230,1242705,21,888,,,,,,,
5,0,0,7,230,1242707,21,890,,,,,,,
10,0,0,14,230,1242707,21,890,,,,,,,
15,0,0,21,230,1242707,21,890,,,,,,,
1,0,0,2,234,1242708,25,891,,,,,,,
2,0,0,4,234,1242708,25,891,,,,,,,
3,0,0,6,234,1242708,25,891,,,,,,,
4,0,0,8,234,1242708,25,891,,,,,,,
5,0,0,10,234,1242708,25,891,,,,,,,
6,0,0,12,234,1242708,25,891,,,,,,,
7,0,0,14,234,1242708,25,891,,,,,,,
8,0,0,16,234,1242708,25,891,,,,,,,
9,0,0,18,234,1242708,25,891,,,,,,,
10,0,0,20,234,1242708,25,891,,,,,,,
11,0,0,22,234,1242708,25,891,,,,,,,
12,0,0,24,234,1242708,25,891,,,,,,,
11,0,0,20,230,1242710,21,893,,,,,,,
13,0,0,20,230,1242717,21,900,,,,,,,
6,0,0,13,230,1242720,21,903,,,,,,,
6,0,0,11,230,1242726,21,909,,,,,,,
12,0,0,22,230,1242726,21,909,,,,,,,
20,0,0,23,234,1242726,25,909,,,,,,,
8,0,0,13,230,1242728,21,911,,,,,,,
15,0,0,23,230,1242733,21,916,,,,,,,
11,0,0,23,231,1242742,22,925,,,,,,,
7,0,0,16,230,1242746,21,929,,,,,,,
14,0,0,17,230,1242748,21,931,,,,,,,
21,0,0,22,229,1242750,20,933,,,,,,,
11,0,0,19,231,1242755,22,938,,,,,,,
4,0,0,7,230,1242760,21,943,,,,,,,
8,0,0,14,230,1242760,21,943,,,,,,,
12,0,0,21,230,1242760,21,943,,,,,,,
3,0,0,5,230,1242761,21,944,,,,,,,
6,0,0,10,230,1242761,21,944,,,,,,,
9,0,0,15,230,1242761,21,944,,,,,,,
12,0,0,20,230,1242761,21,944,,,,,,,
7,0,0,10,230,1242765,21,948,,,,,,,
14,0,0,20,230,1242765,21,948,,,,,,,
12,0,0,17,230,1242770,21,953,,,,,,,
8,0,0,19,230,1242781,21,964,,,,,,,
13,0,0,23,233,1242781,24,964,,,,,,,
7,0,0,12,230,1242788,21,971,,,,,,,
14,0,0,24,230,1242788,21,971,,,,,,,
11,0,0,21,233,1242790,24,973,,,,,,,
7,0,0,9,230,1242794,21,977,,,,,,,
14,0,0,18,230,1242794,21,977,,,,,,,
4,0,0,9,233,1242796,24,979,,,,,,,
7,0,0,11,233,1242796,24,979,,,,,,,
8,0,0,18,233,1242796,24,979,,,,,,,
14,0,0,22,233,1242796,24,979,,,,,,,
13,0,0,16,229,1242797,20,980,,,,,,,
17,0,0,20,230,1242797,21,980,,,,,,,
17,0,0,21,229,1242801,20,984,,,,,,,
9,0,0,16,230,1242808,21,991,,,,,,,
15,0,0,22,233,1242826,24,1009,,,,,,,
9,0,0,14,233,1242828,24,1011,,,,,,,
8,0,0,15,230,1242829,21,1012,,,,,,,
11,0,0,17,233,1242830,24,1013,,,,,,,
14,0,0,19,230,1242836,21,1019,,,,,,,
10,0,0,17,230,1242838,21,1021,,,,,,,
9,0,0,17,233,1242840,24,1023,,,,,,,
10,0,0,21,230,1242846,21,1029,,,,,,,
13,0,0,22,230,1242851,21,1034,,,,,,,
16,0,0,21,230,1242853,21,1036,,,,,,,
19,0,0,24,229,1242862,20,1045,,,,,,,
11,0,0,16,235,1242865,26,1048,,,,,,,
16,0,0,23,233,1242875,24,1058,,,,,,,
7,0,0,13,230,1242884,21,1067,,,,,,,
12,0,0,23,230,1242890,21,1073,,,,,,,
6,0,0,7,235,1242891,26,1074,,,,,,,
12,0,0,14,235,1242891,26,1074,,,,,,,
18,0,0,21,235,1242891,26,1074,,,,,,,
11,0,0,14,231,1242893,22,1076,,,,,,,
13,0,0,17,230,1242893,21,1076,,,,,,,
19,0,0,20,230,1242894,21,1077,,,,,,,
18,0,0,23,230,1242896,21,1079,,,,,,,
13,0,0,21,230,1242904,21,1087,,,,,,,
13,0,0,24,230,1242912,21,1095,,,,,,,
2,0,0,3,233,1242917,24,1100,,,,,,,
4,0,0,6,233,1242917,24,1100,,,,,,,
6,0,0,9,233,1242917,24,1100,,,,,,,
8,0,0,12,233,1242917,24,1100,,,,,,,
10,0,0,15,233,1242917,24,1100,,,,,,,
12,0,0,18,233,1242917,24,1100,,,,,,,
14,0,0,21,233,1242917,24,1100,,,,,,,
16,0,0,24,233,1242917,24,1100,,,,,,,
5,0,0,8,230,1242926,21,1109,,,,,,,
10,0,0,11,230,1242926,21,1109,,,,,,,
10,0,0,16,230,1242926,21,1109,,,,,,,
15,0,0,24,230,1242926,21,1109,,,,,,,
20,0,0,22,230,1242926,21,1109,,,,,,,
11,0,0,12,230,1242927,21,1110,,,,,,,
22,0,0,24,230,1242927,21,1110,,,,,,,
17,0,0,22,230,1242929,21,1112,,,,,,,
22,0,0,23,230,1242938,21,1121,,,,,,,
7,0,0,8,230,1242939,21,1122,,,,,,,
14,0,0,16,230,1242939,21,1122,,,,,,,
21,0,0,24,230,1242939,21,1122,,,,,,,
13,0,0,19,229,1242944,20,1127,,,,,,,
15,0,0,19,230,1242944,21,1127,,,,,,,
14,0,0,23,230,1242949,21,1132,,,,,,,
16,0,0,19,233,1242952,24,1135,,,,,,,
13,0,0,18,230,1242953,21,1136,,,,,,,
9,0,0,13,230,1242954,21,1137,,,,,,,
8,0,0,9,229,1242955,20,1138,,,,,,,
16,0,0,18,229,1242955,20,1138,,,,,,,
9,0,0,8,230,1242966,21,1149,,,,,,,
18,0,0,16,230,1242966,21,1149,,,,,,,
8,0,0,11,230,1242968,21,1151,,,,,,,
16,0,0,22,230,1242968,21,1151,,,,,,,
11,0,0,15,230,1242969,21,1152,,,,,,,
11,0,0,18,230,1242974,21,1157,,,,,,,
17,0,0,24,230,1242975,21,1158,,,,,,,
4,0,0,5,230,1242976,21,1159,,,,,,,
8,0,0,10,230,1242976,21,1159,,,,,,,
12,0,0,15,230,1242976,21,1159,,,,,,,
16,0,0,20,230,1242976,21,1159,,,,,,,
12,0,0,19,230,1242980,21,1163,,,,,,,
5,0,0,6,231,1242989,22,1172,,,,,,,
10,0,0,12,231,1242989,22,1172,,,,,,,
15,0,0,18,231,1242989,22,1172,,,,,,,
20,0,0,24,231,1242989,22,1172,,,,,,,
13,0,0,15,230,1242990,21,1173,,,,,,,
11,0,0,13,231,1242991,22,1174,,,,,,,
19,0,0,21,230,1242992,21,1175,,,,,,,
23,0,0,24,230,1242998,21,1181,,,,,,,
10,0,0,13,230,1242999,21,1182,,,,,,,
19,0,0,23,229,1243001,20,1184,,,,,,,
17,0,0,23,230,1243004,21,1187,,,,,,,
14,0,0,13,230,1243005,21,1188,,,,,,,
17,0,0,14,230,1243012,21,1195,,,,,,,
3,0,0,4,230,1243015,21,1198,,,,,,,
6,0,0,8,230,1243015,21,1198,,,,,,,
9,0,0,12,230,1243015,21,1198,,,,,,,
12,0,0,16,230,1243015,21,1198,,,,,,,
15,0,0,16,230,1243015,21,1198,,,,,,,
15,0,0,20,230,1243015,21,1198,,,,,,,
18,0,0,24,230,1243015,21,1198,,,,,,,
8,0,0,7,230,1243017,21,1200,,,,,,,
16,0,0,14,230,1243017,21,1200,,,,,,,
24,0,0,21,230,1243017,21,1200,,,,,,,
21,0,0,20,230,1243019,21,1202,,,,,,,
17,0,0,16,230,1243024,21,1207,,,,,,,
15,0,0,17,230,1243032,21,1215,,,,,,,
13,0,0,14,233,1243041,24,1224,,,,,,,
17,0,0,19,230,1243042,21,1225,,,,,,,
22,0,0,21,230,1243046,21,1229,,,,,,,
20,0,0,19,230,1243050,21,1233,,,,,,,
19,0,0,15,230,1243054,21,1237,,,,,,,
13,0,0,12,230,1243055,21,1238,,,,,,,
21,0,0,23,230,1243058,21,1241,,,,,,,
16,0,0,17,230,1243061,21,1244,,,,,,,
12,0,0,13,230,1243062,21,1245,,,,,,,
9,0,0,10,230,1243065,21,1248,,,,,,,
17,0,0,18,230,1243065,21,1248,,,,,,,
18,0,0,20,230,1243065,21,1248,,,,,,,
16,0,0,15,230,1243066,21,1249,,,,,,,
19,0,0,17,230,1243066,21,1249,,,,,,,
7,0,0,6,230,1243072,21,1255,,,,,,,
14,0,0,12,230,1243072,21,1255,,,,,,,
21,0,0,18,230,1243072,21,1255,,,,,,,
11,0,0,10,230,1243073,21,1256,,,,,,,
22,0,0,20,230,1243073,21,1256,,,,,,,
18,0,0,19,230,1243076,21,1259,,,,,,,
17,0,0,13,230,1243079,21,1262,,,,,,,
9,0,0,11,230,1243081,21,1264,,,,,,,
18,0,0,22,230,1243081,21,1264,,,,,,,
9,0,0,7,230,1243085,21,1268,,,,,,,
18,0,0,14,230,1243085,21,1268,,,,,,,
10,0,0,9,230,1243086,21,1269,,,,,,,
20,0,0,18,230,1243086,21,1269,,,,,,,
15,0,0,13,233,1243088,24,1271,,,,,,,
11,0,0,9,229,1243089,20,1272,,,,,,,
22,0,0,18,229,1243089,20,1272,,,,,,,
23,0,0,21,230,1243090,21,1273,,,,,,,
17,0,0,15,230,1243110,21,1293,,,,,,,
14,0,0,11,230,1243116,21,1299,,,,,,,
22,0,0,19,230,1243118,21,1301,,,,,,,
5,0,0,4,230,1243121,21,1304,,,,,,,
10,0,0,8,230,1243121,21,1304,,,,,,,
15,0,0,12,230,1243121,21,1304,,,,,,,
20,0,0,16,230,1243121,21,1304,,,,,,,
1,0,0,1,230,1243124,21,1307,,,,,,,
2,0,0,2,230,1243124,21,1307,,,,,,,
3,0,0,3,230,1243124,21,1307,,,,,,,
4,0,0,4,230,1243124,21,1307,,,,,,,
5,0,0,5,230,1243124,21,1307,,,,,,,
6,0,0,6,230,1243124,21,1307,,,,,,,
7,0,0,7,230,1243124,21,1307,,,,,,,
8,0,0,8,230,1243124,21,1307,,,,,,,
9,0,0,9,230,1243124,21,1307,,,,,,,
10,0,0,10,230,1243124,21,1307,,,,,,,
11,0,0,11,230,1243124,21,1307,,,,,,,
12,0,0,11,230,1243124,21,1307,,,,,,,
12,0,0,12,230,1243124,21,1307,,,,,,,
13,0,0,13,230,1243124,21,1307,,,,,,,
14,0,0,14,230,1243124,21,1307,,,,,,,
15,0,0,15,230,1243124,21,1307,,,,,,,
16,0,0,16,230,1243124,21,1307,,,,,,,
17,0,0,17,230,1243124,21,1307,,,,,,,
18,0,0,18,230,1243124,21,1307,,,,,,,
19,0,0,19,230,1243124,21,1307,,,,,,,
20,0,0,20,230,1243124,21,1307,,,,,,,
21,0,0,21,230,1243124,21,1307,,,,,,,
22,0,0,22,230,1243124,21,1307,,,,,,,
23,0,0,23,230,1243124,21,1307,,,,,,,
24,0,0,22,230,1243124,21,1307,,,,,,,
24,0,0,24,230,1243124,21,1307,,,,,,,
21,0,0,17,230,1243129,21,1312,,,,,,,
6,0,0,5,230,1243133,21,1316,,,,,,,
12,0,0,10,230,1243133,21,1316,,,,,,,
18,0,0,15,230,1243133,21,1316,,,,,,,
24,0,0,20,230,1243133,21,1316,,,,,,,
24,0,0,23,230,1243133,21,1316,,,,,,,
15,0,0,14,233,1243145,24,1328,,,,,,,
11,0,0,8,230,1243158,21,1341,,,,,,,
19,0,0,16,233,1243158,24,1341,,,,,,,
22,0,0,16,230,1243158,21,1341,,,,,,,
21,0,0,19,230,1243167,21,1350,,,,,,,
18,0,0,17,231,1243173,22,1356,,,,,,,
14,0,0,15,230,1243177,21,1360,,,,,,,
20,0,0,21,230,1243179,21,1362,,,,,,,
23,0,0,16,230,1243192,21,1375,,,,,,,
23,0,0,20,230,1243192,21,1375,,,,,,,
23,0,0,18,230,1243193,21,1376,,,,,,,
17,0,0,12,229,1243202,20,1385,,,,,,,
13,0,0,11,230,1243211,21,1394,,,,,,,
23,0,0,19,230,1243212,21,1395,,,,,,,
21,0,0,11,229,1243219,20,1402,,,,,,,
21,0,0,16,230,1243224,21,1407,,,,,,,
23,0,0,22,230,1243224,21,1407,,,,,,,
24,0,0,19,230,1243225,21,1408,,,,,,,
23,0,0,12,230,1243235,21,1418,,,,,,,
16,0,0,9,230,1243238,21,1421,,,,,,,
16,0,0,13,230,1243247,21,1430,,,,,,,
19,0,0,18,230,1243249,21,1432,,,,,,,
13,0,0,8,230,1243250,21,1433,,,,,,,
19,0,0,12,230,1243257,21,1440,,,,,,,
15,0,0,11,230,1243264,21,1447,,,,,,,
20,0,0,17,230,1243270,21,1453,,,,,,,
4,0,0,3,230,1243272,21,1455,,,,,,,
8,0,0,6,230,1243272,21,1455,,,,,,,
12,0,0,9,230,1243272,21,1455,,,,,,,
16,0,0,12,230,1243272,21,1455,,,,,,,
20,0,0,15,230,1243272,21,1455,,,,,,,
24,0,0,18,230,1243272,21,1455,,,,,,,
14,0,0,9,230,1243280,21,1463,,,,,,,
13,0,0,9,230,1243288,21,1471,,,,,,,
23,0,0,15,230,1243290,21,1473,,,,,,,
17,0,0,9,229,1243292,20,1475,,,,,,,
19,0,0,11,230,1243292,21,1475,,,,,,,
22,0,0,17,230,1243295,21,1478,,,,,,,
19,0,0,14,229,1243296,20,1479,,,,,,,
10,0,0,7,230,1243300,21,1483,,,,,,,
20,0,0,14,230,1243300,21,1483,,,,,,,
18,0,0,13,230,1243319,21,1502,,,,,,,
11,0,0,7,230,1243323,21,1506,,,,,,,
22,0,0,14,230,1243323,21,1506,,,,,,,
8,0,0,5,230,1243339,21,1522,,,,,,,
16,0,0,10,230,1243339,21,1522,,,,,,,
24,0,0,15,230,1243339,21,1522,,,,,,,
21,0,0,10,230,1243342,21,1525,,,,,,,
18,0,0,11,230,1243354,21,1537,,,,,,,
5,0,0,3,229,1243369,20,1552,,,,,,,
10,0,0,6,229,1243369,20,1552,,,,,,,
15,0,0,9,229,1243369,20,1552,,,,,,,
20,0,0,12,229,1243369,20,1552,,,,,,,
3,0,0,2,230,1243374,21,1557,,,,,,,
6,0,0,4,230,1243374,21,1557,,,,,,,
9,0,0,6,230,1243374,21,1557,,,,,,,
12,0,0,8,230,1243374,21,1557,,,,,,,
15,0,0,10,230,1243374,21,1557,,,,,,,
18,0,0,12,230,1243374,21,1557,,,,,,,
21,0,0,14,230,1243374,21,1557,,,,,,,
24,0,0,16,230,1243374,21,1557,,,,,,,
23,0,0,13,230,1243412,21,1595,,,,,,,
7,0,0,5,230,1243414,21,1597,,,,,,,
14,0,0,10,230,1243414,21,1597,,,,,,,
21,0,0,15,230,1243414,21,1597,,,,,,,
24,0,0,17,230,1243416,21,1599,,,,,,,
21,0,0,13,230,1243419,21,1602,,,,,,,
9,0,0,5,230,1243425,21,1608,,,,,,,
18,0,0,10,230,1243425,21,1608,,,,,,,
20,0,0,13,230,1243430,21,1613,,,,,,,
19,0,0,10,230,1243439,21,1622,,,,,,,
17,0,0,10,229,1243445,20,1628,,,,,,,
20,0,0,11,230,1243446,21,1629,,,,,,,
12,0,0,7,230,1243455,21,1638,,,,,,,
13,0,0,10,230,1243455,21,1638,,,,,,,
24,0,0,14,230,1243455,21,1638,,,,,,,
16,0,0,11,230,1243475,21,1658,,,,,,,
16,0,0,7,229,1243477,20,1660,,,,,,,
19,0,0,13,230,1243481,21,1664,,,,,,,
22,0,0,15,230,1243481,21,1664,,,,,,,
22,0,0,13,229,1243488,20,1671,,,,,,,
15,0,0,7,230,1243490,21,1673,,,,,,,
23,0,0,14,230,1243492,21,1675,,,,,,,
11,0,0,5,230,1243493,21,1676,,,,,,,
22,0,0,10,230,1243493,21,1676,,,,,,,
13,0,0,5,230,1243496,21,1679,,,,,,,
23,0,0,11,230,1243497,21,1680,,,,,,,
19,0,0,8,230,1243503,21,1686,,,,,,,
22,0,0,9,230,1243514,21,1697,,,,,,,
2,0,0,1,230,1243517,21,1700,,,,,,,
4,0,0,2,230,1243517,21,1700,,,,,,,
6,0,0,3,230,1243517,21,1700,,,,,,,
8,0,0,4,230,1243517,21,1700,,,,,,,
10,0,0,5,230,1243517,21,1700,,,,,,,
12,0,0,6,230,1243517,21,1700,,,,,,,
14,0,0,7,230,1243517,21,1700,,,,,,,
16,0,0,8,230,1243517,21,1700,,,,,,,
18,0,0,9,230,1243517,21,1700,,,,,,,
20,0,0,10,230,1243517,21,1700,,,,,,,
22,0,0,11,230,1243517,21,1700,,,,,,,
24,0,0,12,230,1243517,21,1700,,,,,,,
19,0,0,22,230,1243521,21,1704,,,,,,,
20,0,0,9,229,1243521,20,1704,,,,,,,
13,0,0,7,230,1243522,21,1705,,,,,,,
23,0,0,9,230,1243531,21,1714,,,,,,,
17,0,0,8,230,1243544,21,1727,,,,,,,
24,0,0,11,230,1243546,21,1729,,,,,,,
19,0,0,9,230,1243559,21,1742,,,,,,,
18,0,0,7,230,1243560,21,1743,,,,,,,
9,0,0,4,230,1243561,21,1744,,,,,,,
18,0,0,8,230,1243561,21,1744,,,,,,,
24,0,0,13,230,1243572,21,1755,,,,,,,
14,0,0,5,230,1243576,21,1759,,,,,,,
8,0,0,3,229,1243580,20,1763,,,,,,,
16,0,0,6,229,1243580,20,1763,,,,,,,
24,0,0,9,229,1243580,20,1763,,,,,,,
23,0,0,10,230,1243582,21,1765,,,,,,,
13,0,0,6,230,1243589,21,1772,,,,,,,
7,0,0,3,230,1243606,21,1789,,,,,,,
14,0,0,6,230,1243606,21,1789,,,,,,,
21,0,0,9,230,1243606,21,1789,,,,,,,
15,0,0,8,230,1243608,21,1791,,,,,,,
17,0,0,7,230,1243614,21,1797,,,,,,,
12,0,0,5,230,1243623,21,1806,,,,,,,
24,0,0,10,230,1243623,21,1806,,,,,,,
22,0,0,7,230,1243636,21,1819,,,,,,,
17,0,0,11,230,1243648,21,1831,,,,,,,
7,0,0,4,230,1243654,21,1837,,,,,,,
14,0,0,8,230,1243654,21,1837,,,,,,,
21,0,0,12,230,1243654,21,1837,,,,,,,
5,0,0,2,230,1243665,21,1848,,,,,,,
10,0,0,4,230,1243665,21,1848,,,,,,,
15,0,0,6,230,1243665,21,1848,,,,,,,
20,0,0,8,230,1243665,21,1848,,,,,,,
11,0,0,4,230,1243675,21,1858,,,,,,,
22,0,0,8,230,1243675,21,1858,,,,,,,
3,0,0,1,230,1243676,21,1859,,,,,,,
6,0,0,2,230,1243676,21,1859,,,,,,,
9,0,0,3,230,1243676,21,1859,,,,,,,
12,0,0,4,230,1243676,21,1859,,,,,,,
15,0,0,5,230,1243676,21,1859,,,,,,,
18,0,0,6,230,1243676,21,1859,,,,,,,
21,0,0,7,230,1243676,21,1859,,,,,,,
24,0,0,8,230,1243676,21,1859,,,,,,,
21,0,0,8,230,1243706,21,1889,,,,,,,
24,0,0,7,229,1243708,20,1891,,,,,,,
23,0,0,8,230,1243721,21,1904,,,,,,,
23,0,0,17,230,1243736,21,1919,,,,,,,
19,0,0,6,230,1243749,21,1932,,,,,,,
11,0,0,6,230,1243755,21,1938,,,,,,,
22,0,0,12,230,1243755,21,1938,,,,,,,
10,0,0,3,230,1243801,21,1984,,,,,,,
20,0,0,6,230,1243801,21,1984,,,,,,,
16,0,0,5,230,1243808,21,1991,,,,,,,
23,0,0,7,230,1243821,21,2004,,,,,,,
13,0,0,4,230,1243832,21,2015,,,,,,,
20,0,0,7,230,1243847,21,2030,,,,,,,
11,0,0,3,230,1243884,21,2067,,,,,,,
22,0,0,6,230,1243884,21,2067,,,,,,,
18,0,0,5,230,1243892,21,2075,,,,,,,
17,0,0,5,230,1243896,21,2079,,,,,,,
7,0,0,2,230,1243900,21,2083,,,,,,,
14,0,0,4,230,1243900,21,2083,,,,,,,
15,0,0,4,230,1243900,21,2083,,,,,,,
21,0,0,6,230,1243900,21,2083,,,,,,,
17,0,0,4,230,1243904,21,2087,,,,,,,
23,0,0,5,229,1243908,20,2091,,,,,,,
4,0,0,1,229,1243925,20,2108,,,,,,,
8,0,0,2,229,1243925,20,2108,,,,,,,
12,0,0,3,229,1243925,20,2108,,,,,,,
16,0,0,4,229,1243925,20,2108,,,,,,,
20,0,0,5,229,1243925,20,2108,,,,,,,
24,0,0,6,229,1243925,20,2108,,,,,,,
23,0,0,6,230,1243944,21,2127,,,,,,,
19,0,0,5,230,1243965,21,2148,,,,,,,
21,0,0,5,230,1243966,21,2149,,,,,,,
16,0,0,3,230,1243969,21,2152,,,,,,,
24,0,0,5,229,1243973,20,2156,,,,,,,
19,0,0,4,229,1243975,20,2158,,,,,,,
9,0,0,2,230,1243977,21,2160,,,,,,,
18,0,0,4,230,1243977,21,2160,,,,,,,
13,0,0,3,230,1243987,21,2170,,,,,,,
21,0,0,4,230,1244000,21,2183,,,,,,,
11,0,0,2,229,1244003,20,2186,,,,,,,
22,0,0,4,229,1244003,20,2186,,,,,,,
22,0,0,5,230,1244003,21,2186,,,,,,,
19,0,0,7,230,1244019,21,2202,,,,,,,
23,0,0,4,229,1244031,20,2214,,,,,,,
19,0,0,3,229,1244041,20,2224,,,,,,,
17,0,0,3,229,1244052,20,2235,,,,,,,
17,0,0,6,230,1244066,21,2249,,,,,,,
6,0,0,1,229,1244067,20,2250,,,,,,,
12,0,0,2,229,1244067,20,2250,,,,,,,
18,0,0,3,229,1244067,20,2250,,,,,,,
24,0,0,4,229,1244067,20,2250,,,,,,,
8,0,0,1,229,1244075,20,2258,,,,,,,
16,0,0,2,229,1244075,20,2258,,,,,,,
24,0,0,3,229,1244075,20,2258,,,,,,,
13,0,0,2,229,1244094,20,2277,,,,,,,
14,0,0,3,230,1244117,21,2300,,,,,,,
5,0,0,1,230,1244136,21,2319,,,,,,,
10,0,0,2,230,1244136,21,2319,,,,,,,
